系所名稱,系號-序號,年級,類別,科目名稱,學分選必修,教師姓名,已選課人數/餘額,時間/教室,課程大綱
(A7)基礎國文 CL,"['A7-047', 'A710120-34', '[CL1002]']",[],['基礎國文'],['基礎國文(綜合文類)（二）'],"['2', '必修']",['侯美珍'],['16/54'],"['[5]7~8', '測量系副館', '55150']",http://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0108&sem=2&co_no=A710120&class_code=34
(A7)基礎國文 CL,"['A7-048', 'A710120-35', '[CL1002]']",[],['基礎國文'],['基礎國文(綜合文類)（二）'],"['2', '必修']",['王翠玲'],['24/25'],"['[5]7~8', '唯農大樓', '7204']",http://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0108&sem=2&co_no=A710120&class_code=35
(A7)基礎國文 CL,"['A7-049', 'A710120-36', '[CL1002]']",[],['基礎國文'],['基礎國文(綜合文類)（二）'],"['2', '必修']",['翁文嫻'],['44/16'],"['[5]7~8', '資訊系館', '4201']",http://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0108&sem=2&co_no=A710120&class_code=36
(A7)基礎國文 CL,"['A7-050', 'A710420-4', '[CL1008]']",[],['基礎國文'],['基礎國文(現代小說)（二）'],"['2', '必修']",['蔡玫姿'],['57/3'],"['[5]7~8', '統計系館', '62119']",http://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0108&sem=2&co_no=A710420&class_code=4
(A9)通識中心 GE,"['A9-001', 'A92F300', '[GE2155]']",[],['人文學'],"['流行樂賞析與實務', '美學與藝術跨域學分學程', 'moocs', '業界專家參與', '為MOOCS磨課師課程,104學年度(含)以前入學生為「哲學與藝術」']","['2', '必修']",['楊金峯'],['103/額滿'],"['[3]5~6', '成功校區經緯廳', '經緯廳']",http://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0108&sem=2&co_no=A92F300&class_code=
(A9)通識中心 GE,"['A9-002', 'A92F100', '[GE2153]']",[],['人文學'],"['音樂文化導引', '美學與藝術跨域學分學程', '104學年度(含)以前學生為哲學與藝術']","['2', '必修']",['楊金峯'],['100/額滿'],"['[2]3~4', '生科院大樓南側', '893S1']",http://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0108&sem=2&co_no=A92F100&class_code=
(A9)通識中心 GE,"['A9-003', 'A92E600', '[GE2148]']",[],['人文學'],"['藝術、設計與生活', '美學與藝術跨域學分學程', '104學年度(含)以前入學生為「哲學與藝術」']","['2', '必修']",['王雅倫'],['86/額滿'],"['[5]3~4', '空中大學', '53101']",http://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0108&sem=2&co_no=A92E600&class_code=
(A9)通識中心 GE,"['A9-004', 'A92E800', '[GE2150]']",[],['人文學'],"['戲劇與電影', '戲劇學程，美學與藝術跨域學分學程', '104學年度(含)以前入學生為「哲學與藝術」']","['2', '必修']",['陳佳彬'],['86/額滿'],"['[3]5~6', '化工系館', '柏林講堂']",http://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0108&sem=2&co_no=A92E800&class_code=
(A9)通識中心 GE,"['A9-005', 'A918600', '[GE2134]']",[],['人文學'],"['戲劇與小說', '戲劇學程']","['2', '必修']",['陳佳彬'],['85/額滿'],"['[3]7~8', '化工系館', '柏林講堂']",http://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0108&sem=2&co_no=A918600&class_code=
(A9)通識中心 GE,"['A9-006', 'A92P400', '[GE2021]']",[],['人文學'],['劇本讀演概論'],"['2', '必修']",['胡紫雲'],['19/11'],"['[3]7~8', '共同教室', 'A1303']",http://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0108&sem=2&co_no=A92P400&class_code=
(A9)通識中心 GE,"['A9-007', 'A93A200-1', '[GE2020]']",[],['人文學'],"['表演藝術與實作', '英語授課', '英語授課']","['2', '必修']",['胡紫雲'],['21/9'],"['[4]3~4', '共同教室', 'A1304']",http://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0108&sem=2&co_no=A93A200&class_code=1
(A9)通識中心 GE,"['A9-009', 'A919200', '[GE2023]']",[],['人文學'],"['佛學概論', '業界專家參與', '已修習過', '""宗教哲學""', '不能承認學分']","['2', '必修']",['楊哲銘'],['93/1'],"['[3]5~6', '修齊大樓', '26425']",http://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0108&sem=2&co_no=A919200&class_code=
(A9)通識中心 GE,"['A9-010', 'A93A300', '[GE2026]']",[],['人文學'],"['傳統戲曲與表演藝術', '戲劇學程']","['2', '必修']",['馬薇茜'],['41/44'],"['[3]5~6', '空中大學', '53101']",http://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0108&sem=2&co_no=A93A300&class_code=
(A9)通識中心 GE,"['A9-011', 'A93A200-2', '[GE2020]']",[],['人文學'],"['表演藝術與實作', '業界專家參與']","['2', '必修']",['胡紫雲'],['35/5'],"['[4]5~6', '共同教室', 'A1303']",http://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0108&sem=2&co_no=A93A200&class_code=2
(A9)通識中心 GE,"['A9-012', 'A910101', '[GE2108]']",[],['人文學'],['先秦兩漢儒家思想'],"['2', '必修']",['吳文璋'],['37/23'],"['[2]5~6', '企管系館', '62229']",http://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0108&sem=2&co_no=A910101&class_code=
(A9)通識中心 GE,"['A9-013', 'A910101-1', '[GE2108]']",[],['人文學'],['先秦兩漢儒家思想'],"['2', '必修']",['吳文璋'],['11/49'],"['[3]3~4', '土木系館', '4502']",http://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0108&sem=2&co_no=A910101&class_code=1
(A9)通識中心 GE,"['A9-014', 'A910101-3', '[GE2108]']",[],['人文學'],['先秦兩漢儒家思想'],"['2', '必修']",['林美惠'],['43/4'],"['[4]3~4', '唯農大樓', '7215']",http://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0108&sem=2&co_no=A910101&class_code=3
(A9)通識中心 GE,"['A9-015', 'A943300', '[GE2134]']",[],['人文學'],['中國文學導論'],"['2', '必修']",['林美惠'],['20/40'],"['[2]3~4', '空中大學', '53101']",http://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0108&sem=2&co_no=A943300&class_code=
(A9)通識中心 GE,"['A9-016', 'A925603-1', '[GE2105]']",[],['人文學'],['女性文學選讀'],"['2', '必修']",['賴麗娟'],['48/1'],"['[3]3~4', '唯農大樓', '7311']",http://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0108&sem=2&co_no=A925603&class_code=1
(A9)通識中心 GE,"['A9-017', 'A925603-2', '[GE2105]']",[],['人文學'],['女性文學選讀'],"['2', '必修']",['賴麗娟'],['47/2'],"['[4]3~4', '唯農大樓', '7311']",http://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0108&sem=2&co_no=A925603&class_code=2
(A9)通識中心 GE,"['A9-018', 'A915101', '[GE2112]']",[],['人文學'],['臺灣古典文學'],"['2', '必修']",['賴麗娟'],['49/額滿'],"['[4]5~6', '唯農大樓', '7311']",http://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0108&sem=2&co_no=A915101&class_code=
(A9)通識中心 GE,"['A9-019', 'A937400-1', '[GE2104]']",[],['人文學'],"['哲學概論', '應用哲學學程', '104學年度(含)以前入學生為「哲學與藝術」']","['2', '必修']",['陳欣白'],['50/額滿'],"['[3]3~4', '企管系館', '62218']",http://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0108&sem=2&co_no=A937400&class_code=1
(A9)通識中心 GE,"['A9-020', 'A918900', '[GE2013]']",[],['人文學'],"['從德語認識哲學', '應用哲學學程']","['2', '必修']",['陳欣白'],['49/額滿'],"['[1]7~8', '交管系館', '62105']",http://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0108&sem=2&co_no=A918900&class_code=
(A9)通識中心 GE,"['A9-021', 'A939800', '[GE2014]']",[],['人文學'],"['實踐哲學', '應用哲學學程']","['2', '必修']",['陳欣白'],['50/額滿'],"['[2]5~6', '會計系館', '63102']",http://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0108&sem=2&co_no=A939800&class_code=
(A9)通識中心 GE,"['A9-022', 'A915101-2', '[GE2112]']",[],['人文學'],['臺灣古典文學'],"['2', '必修']",['賴麗娟'],['47/額滿'],"['[2]5~6', '唯農大樓', '7311']",http://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0108&sem=2&co_no=A915101&class_code=2
(A9)通識中心 GE,"['A9-023', 'A928900', '[GE2135]']",[],['人文學'],"['中國哲學概論', '應用哲學學程']","['2', '必修']",['陳弘學'],['91/額滿'],"['[4]7~8', '雲平大樓', '27103(通識中心']",http://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0108&sem=2&co_no=A928900&class_code=
(A9)通識中心 GE,"['A9-024', 'A92D300', '[GE2143]']",[],['人文學'],"['戲劇賞析', '戲劇學程']","['2', '必修']","['顧盼*', '林明澤', '陳佳彬', '胡紫雲', '馬薇茜']",['79/41'],"['[3]3~4', '生科院大樓南側', '893S1']",http://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0108&sem=2&co_no=A92D300&class_code=
(A9)通識中心 GE,"['A9-025', 'A917400', '[GE2109]']",[],['人文學'],['古蹟與文化'],"['2', '必修']",['何培夫'],['79/1'],"['[3]3~4', '唯農大樓', '許文龍講堂']",http://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0108&sem=2&co_no=A917400&class_code=
(A9)通識中心 GE,"['A9-026', 'A92K500', '[GE2178]']",[],['人文學'],"['西洋藝術史', '美學與藝術跨域學分學程', '業界專家參與', '104學年度(含)以前入學生為「公民與歷史」']","['2', '必修']",['楊尹瑄'],['64/1'],"['[3]3~4', '修齊大樓', '26402']",http://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0108&sem=2&co_no=A92K500&class_code=
(A9)通識中心 GE,"['A9-027', 'A92O400', '[GE2003]']",[],['人文學'],"['歷史:現在和過去的對話', '104學年度(含)以前入學生為核心通識「公民與歷史」領域課程']","['2', '必修']",['蔡幸娟'],['27/38'],"['[5]7~8', '歷史系館', '25235']",http://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0108&sem=2&co_no=A92O400&class_code=
(A9)通識中心 GE,"['A9-028', 'A92K800', '[GE2181]']",[],['人文學'],"['愛爾蘭歷史與文化', '104學年度(含)以前入學生為「公民與歷史」']","['2', '必修']",['張勝柏'],['148/2'],"['[4]3~4', '生科院大樓南側', '893S1']",http://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0108&sem=2&co_no=A92K800&class_code=
